,Encounter #,Location,Date,Weapon,Wielder,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Notes 1,Notes 2,Notes 3,Citation,Text,Continent
206,90,Khartoum,1885.0,Polearm,Mahdist insurgent,Thrust,Torso,Ineffective,Ineffective,Foot,Hemorrhage,,,BSF 403,"By the time Gordon had slipped into his old serge or dark tweed suit, and taken his sword and revolver, the advanced dervishes were already surrounding the palace. Overcoming the guards, a rush was made up the stairs; and Gordon was met leaving his room. A small spear was thrown which wounded him, but very slightly, on the left shoulder. Almost before the dervishes knew what was happening, three of them lay dead, and one wounded, at Gordon’s feet—the remainder fled. Quickly reloading his revolver, Gordon made for the head of the stairs, and again drove the reassembling dervishes off. Darting back to reload, he received a stab in his left shoulder blade from a dervish concealed behind the corridor door; and on reaching the steps the third time, he received a pistol shot and spear wound in his right breast; and then, great soldier as he was, he rose almost above himself. With his life’s blood pouring from his breast—not his back, remember—he fought his way step by step, kicking from his path the wounded and dead dervishes—for Orphali [his chief bodyguard], too, had not been idle—and as he was passing through the doorway leading into the courtyard, another concealed dervish almost severed his right leg with a single blow. Then Gordon fell.",Africa
207,91,Khartoum,1885.0,Saber,Mahdist insurgent,Thrust,Hand,Ineffective,Ineffective,Foot,,,,BSF 404,"Khaleel Agha Orphali, Gordon’s chief bodyguard: “Gordon Pasha met them [the enemy] with his sword in his right hand and his pistol in his left, and killed of them two who fell at the [outer] door [of Gordon’s private apartment], and one who fell down the stairs; and the others ran away. Then we heard the dervishes breaking the private door [of Gordon’s apartment], while the Pasha was loading his revolver. I went forward and received a little wound in the face; and when the Pasha came, he received a wound in the left shoulder. The man who wounded him was a half-blood slave. We followed them to [head clerk] Roushdi Bey’s room, killing three and wounding many, and the others ran away and fell down the stairs. We went back to the Pasha’s room and reloaded, but the dervishes came back, and I received a slight wound in my right leg from a sword; but I warded the blow, and the cut was nothing. We attacked the dervishes on the private stairs; and while we were passing the door, a native of Khartoum, dressed as a dervish, stabbed the Pasha with a spear on the left shoulder. Seeing this man’s hand coming from behind the door, I cut at it; and he ran and fell on a spear held by one of his companions on the steps, and was killed. At this time, more dervishes were coming along the corridor; and we returned to meet them. I received a thrust in the left hand; but the Pasha cut the man down with his sword, and kicked him on the head, and he died. Then the dervishes ran into the clerks’ offices; and while we were standing in the corridor, a tall Negro fired a shot from the door near Roushdi Bey’s room, and the bullet struck the Pasha in the right breast; and the Pasha ran up and shot the man dead. The dervishes then came out of the offices; and we turned, and they ran to the private stairs; and we fired into them, but the Pasha was getting weak from loss of blood. We fought these dervishes down the stairs till we reached the last one, and a native of Katimeh speared the Pasha in the right hip, but I shot him; and the Pasha fell down on the mat at the door [of the guard room], and he was dead; and as I turned to seek refuge in the finance office, I was struck down and lost my senses, and I was lying down with the dead. In the afternoon, a man of El Katimeh whom I knew helped me to go to the river for water; and I saw the body of the Pasha at the door, but the head was not there.” (Neufeld, op. cit.)",Africa
208,91,Khartoum,1885.0,unspecified,Mahdist insurgent,Cut,Head,Incapacitation,Incapacitation,Foot,Not mortal,,,BSF 404,"Khaleel Agha Orphali, Gordon’s chief bodyguard: “Gordon Pasha met them [the enemy] with his sword in his right hand and his pistol in his left, and killed of them two who fell at the [outer] door [of Gordon’s private apartment], and one who fell down the stairs; and the others ran away. Then we heard the dervishes breaking the private door [of Gordon’s apartment], while the Pasha was loading his revolver. I went forward and received a little wound in the face; and when the Pasha came, he received a wound in the left shoulder. The man who wounded him was a half-blood slave. We followed them to [head clerk] Roushdi Bey’s room, killing three and wounding many, and the others ran away and fell down the stairs. We went back to the Pasha’s room and reloaded, but the dervishes came back, and I received a slight wound in my right leg from a sword; but I warded the blow, and the cut was nothing. We attacked the dervishes on the private stairs; and while we were passing the door, a native of Khartoum, dressed as a dervish, stabbed the Pasha with a spear on the left shoulder. Seeing this man’s hand coming from behind the door, I cut at it; and he ran and fell on a spear held by one of his companions on the steps, and was killed. At this time, more dervishes were coming along the corridor; and we returned to meet them. I received a thrust in the left hand; but the Pasha cut the man down with his sword, and kicked him on the head, and he died. Then the dervishes ran into the clerks’ offices; and while we were standing in the corridor, a tall Negro fired a shot from the door near Roushdi Bey’s room, and the bullet struck the Pasha in the right breast; and the Pasha ran up and shot the man dead. The dervishes then came out of the offices; and we turned, and they ran to the private stairs; and we fired into them, but the Pasha was getting weak from loss of blood. We fought these dervishes down the stairs till we reached the last one, and a native of Katimeh speared the Pasha in the right hip, but I shot him; and the Pasha fell down on the mat at the door [of the guard room], and he was dead; and as I turned to seek refuge in the finance office, I was struck down and lost my senses, and I was lying down with the dead. In the afternoon, a man of El Katimeh whom I knew helped me to go to the river for water; and I saw the body of the Pasha at the door, but the head was not there.” (Neufeld, op. cit.)",Africa
209,91,Khartoum,1885.0,unspecified,Mahdist insurgent,unspecified,Head,Ineffective,Ineffective,Foot,,,,BSF 404,"Khaleel Agha Orphali, Gordon’s chief bodyguard: “Gordon Pasha met them [the enemy] with his sword in his right hand and his pistol in his left, and killed of them two who fell at the [outer] door [of Gordon’s private apartment], and one who fell down the stairs; and the others ran away. Then we heard the dervishes breaking the private door [of Gordon’s apartment], while the Pasha was loading his revolver. I went forward and received a little wound in the face; and when the Pasha came, he received a wound in the left shoulder. The man who wounded him was a half-blood slave. We followed them to [head clerk] Roushdi Bey’s room, killing three and wounding many, and the others ran away and fell down the stairs. We went back to the Pasha’s room and reloaded, but the dervishes came back, and I received a slight wound in my right leg from a sword; but I warded the blow, and the cut was nothing. We attacked the dervishes on the private stairs; and while we were passing the door, a native of Khartoum, dressed as a dervish, stabbed the Pasha with a spear on the left shoulder. Seeing this man’s hand coming from behind the door, I cut at it; and he ran and fell on a spear held by one of his companions on the steps, and was killed. At this time, more dervishes were coming along the corridor; and we returned to meet them. I received a thrust in the left hand; but the Pasha cut the man down with his sword, and kicked him on the head, and he died. Then the dervishes ran into the clerks’ offices; and while we were standing in the corridor, a tall Negro fired a shot from the door near Roushdi Bey’s room, and the bullet struck the Pasha in the right breast; and the Pasha ran up and shot the man dead. The dervishes then came out of the offices; and we turned, and they ran to the private stairs; and we fired into them, but the Pasha was getting weak from loss of blood. We fought these dervishes down the stairs till we reached the last one, and a native of Katimeh speared the Pasha in the right hip, but I shot him; and the Pasha fell down on the mat at the door [of the guard room], and he was dead; and as I turned to seek refuge in the finance office, I was struck down and lost my senses, and I was lying down with the dead. In the afternoon, a man of El Katimeh whom I knew helped me to go to the river for water; and I saw the body of the Pasha at the door, but the head was not there.” (Neufeld, op. cit.)",Africa
210,91,Khartoum,1885.0,Saber,Mahdist insurgent,Cut,Leg,Ineffective,Ineffective,Foot,,,,BSF 404,"Khaleel Agha Orphali, Gordon’s chief bodyguard: “Gordon Pasha met them [the enemy] with his sword in his right hand and his pistol in his left, and killed of them two who fell at the [outer] door [of Gordon’s private apartment], and one who fell down the stairs; and the others ran away. Then we heard the dervishes breaking the private door [of Gordon’s apartment], while the Pasha was loading his revolver. I went forward and received a little wound in the face; and when the Pasha came, he received a wound in the left shoulder. The man who wounded him was a half-blood slave. We followed them to [head clerk] Roushdi Bey’s room, killing three and wounding many, and the others ran away and fell down the stairs. We went back to the Pasha’s room and reloaded, but the dervishes came back, and I received a slight wound in my right leg from a sword; but I warded the blow, and the cut was nothing. We attacked the dervishes on the private stairs; and while we were passing the door, a native of Khartoum, dressed as a dervish, stabbed the Pasha with a spear on the left shoulder. Seeing this man’s hand coming from behind the door, I cut at it; and he ran and fell on a spear held by one of his companions on the steps, and was killed. At this time, more dervishes were coming along the corridor; and we returned to meet them. I received a thrust in the left hand; but the Pasha cut the man down with his sword, and kicked him on the head, and he died. Then the dervishes ran into the clerks’ offices; and while we were standing in the corridor, a tall Negro fired a shot from the door near Roushdi Bey’s room, and the bullet struck the Pasha in the right breast; and the Pasha ran up and shot the man dead. The dervishes then came out of the offices; and we turned, and they ran to the private stairs; and we fired into them, but the Pasha was getting weak from loss of blood. We fought these dervishes down the stairs till we reached the last one, and a native of Katimeh speared the Pasha in the right hip, but I shot him; and the Pasha fell down on the mat at the door [of the guard room], and he was dead; and as I turned to seek refuge in the finance office, I was struck down and lost my senses, and I was lying down with the dead. In the afternoon, a man of El Katimeh whom I knew helped me to go to the river for water; and I saw the body of the Pasha at the door, but the head was not there.” (Neufeld, op. cit.)",Africa
211,92,Abu Klea,1885.0,Polearm,Mahdist insurgent,Thrust,Arm,Ineffective,Ineffective,Foot vs Horse,,,,BSF 406,"“As the skirmishers came running in, the last couple of them were hard pressed by the pursuing Arabs; and two of them were killed. Burnaby rode out a little way to the assistance of the in-running skirmishers, his only arm being his sword. He rode straight at a mounted Sheikh chasing a skirmisher with leveled spear. At sight of him, the Arab changed direction and made for Burnaby. Just as they were closing, a young soldier named Laporte sent a bullet through the Arab, who fell with a crash. A foot spearsman promptly darted on Burnaby, pointing at his throat the broad, sharp blade of his eight-foot-long spear. Burnaby parried, and wounded the Moslem. The duel between them continued for above a minute—Burnaby cutting, pointing, and parrying; the supple Arab lunging vicious thrusts at the big British officer, fast in the saddle. A second Arab, darting by in pursuit of a skirmisher, with a sudden turn, ran his spear into Burnaby’s right shoulder from behind. A soldier darted out and bayoneted this man. Burnaby glanced over his shoulder for a second at the transaction, and in that second his first antagonist dashed his spear full into Burnaby’s throat. He fell from the saddle, the blood spurting from the jugular. As he sank, the Arab stabbed him a second time; and he lay prone. A rush of Arabs were upon him. He had strength enough to struggle to his feet; and with the blood pouring from his gashed throat, he whirled his sword around him till he fell dead.",Africa
212,92,Abu Klea,1885.0,Polearm,Mahdist insurgent,Thrust,Head,Incapacitation,Ineffective,Foot vs Horse,Hemorrhage,Neck wound,,BSF 406,"“As the skirmishers came running in, the last couple of them were hard pressed by the pursuing Arabs; and two of them were killed. Burnaby rode out a little way to the assistance of the in-running skirmishers, his only arm being his sword. He rode straight at a mounted Sheikh chasing a skirmisher with leveled spear. At sight of him, the Arab changed direction and made for Burnaby. Just as they were closing, a young soldier named Laporte sent a bullet through the Arab, who fell with a crash. A foot spearsman promptly darted on Burnaby, pointing at his throat the broad, sharp blade of his eight-foot-long spear. Burnaby parried, and wounded the Moslem. The duel between them continued for above a minute—Burnaby cutting, pointing, and parrying; the supple Arab lunging vicious thrusts at the big British officer, fast in the saddle. A second Arab, darting by in pursuit of a skirmisher, with a sudden turn, ran his spear into Burnaby’s right shoulder from behind. A soldier darted out and bayoneted this man. Burnaby glanced over his shoulder for a second at the transaction, and in that second his first antagonist dashed his spear full into Burnaby’s throat. He fell from the saddle, the blood spurting from the jugular. As he sank, the Arab stabbed him a second time; and he lay prone. A rush of Arabs were upon him. He had strength enough to struggle to his feet; and with the blood pouring from his gashed throat, he whirled his sword around him till he fell dead.",Africa
213,92,Abu Klea,1885.0,Polearm,Mahdist insurgent,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Hemorrhage,,,BSF 406,"“As the skirmishers came running in, the last couple of them were hard pressed by the pursuing Arabs; and two of them were killed. Burnaby rode out a little way to the assistance of the in-running skirmishers, his only arm being his sword. He rode straight at a mounted Sheikh chasing a skirmisher with leveled spear. At sight of him, the Arab changed direction and made for Burnaby. Just as they were closing, a young soldier named Laporte sent a bullet through the Arab, who fell with a crash. A foot spearsman promptly darted on Burnaby, pointing at his throat the broad, sharp blade of his eight-foot-long spear. Burnaby parried, and wounded the Moslem. The duel between them continued for above a minute—Burnaby cutting, pointing, and parrying; the supple Arab lunging vicious thrusts at the big British officer, fast in the saddle. A second Arab, darting by in pursuit of a skirmisher, with a sudden turn, ran his spear into Burnaby’s right shoulder from behind. A soldier darted out and bayoneted this man. Burnaby glanced over his shoulder for a second at the transaction, and in that second his first antagonist dashed his spear full into Burnaby’s throat. He fell from the saddle, the blood spurting from the jugular. As he sank, the Arab stabbed him a second time; and he lay prone. A rush of Arabs were upon him. He had strength enough to struggle to his feet; and with the blood pouring from his gashed throat, he whirled his sword around him till he fell dead.",Africa
214,92,Abu Klea,1885.0,Saber,Col. Burnaby,unspecified,unspecified,Ineffective,Ineffective,Foot vs Horse,,,,BSF 406,"“As the skirmishers came running in, the last couple of them were hard pressed by the pursuing Arabs; and two of them were killed. Burnaby rode out a little way to the assistance of the in-running skirmishers, his only arm being his sword. He rode straight at a mounted Sheikh chasing a skirmisher with leveled spear. At sight of him, the Arab changed direction and made for Burnaby. Just as they were closing, a young soldier named Laporte sent a bullet through the Arab, who fell with a crash. A foot spearsman promptly darted on Burnaby, pointing at his throat the broad, sharp blade of his eight-foot-long spear. Burnaby parried, and wounded the Moslem. The duel between them continued for above a minute—Burnaby cutting, pointing, and parrying; the supple Arab lunging vicious thrusts at the big British officer, fast in the saddle. A second Arab, darting by in pursuit of a skirmisher, with a sudden turn, ran his spear into Burnaby’s right shoulder from behind. A soldier darted out and bayoneted this man. Burnaby glanced over his shoulder for a second at the transaction, and in that second his first antagonist dashed his spear full into Burnaby’s throat. He fell from the saddle, the blood spurting from the jugular. As he sank, the Arab stabbed him a second time; and he lay prone. A rush of Arabs were upon him. He had strength enough to struggle to his feet; and with the blood pouring from his gashed throat, he whirled his sword around him till he fell dead.",Africa
215,93,Abu Klea,1885.0,Saber,Lt. Col. Gordon-Cumming,Cut,Head,Death,,Foot,Dismemberment,,,BSF 407,"“[Lt. Col.] Sir William Gordon-Cumming [of the Scots Guards] tells of Burnaby’s death, and how he ran out in hope to bring his wounded comrade in. Three of the Arabs who had been hacking at Burnaby came at Cumming. ‘One of these,’ wrote Cumming, ‘I bowled over with a bullet through the stomach from my revolver. Before starting on the desert march, I had my sword ground as sharp as a razor. When the second man neared me, I cut his head clean off with one blow. Number three dodged; and as I was following him, he was shot dead by a bullet fired from the square.’” (Henry W. Lucy, “Sixty Years in the Wilderness,” Cornhill Magazine, 1908.)",Africa
216,94,Inkerman,1854.0,Saber,Capt. Burnaby,Cut,Head,Death,,Foot,,,,BSF 408,"Upon seeing Burnaby, the Russian officer sprang at him, sword in hand; but Burnaby parried, and before his assailant could again raise the arm, brought him down by a cut so delivered on the side of the head that the tall leader fell and died at once with a groan.",Europe
217,95,Suakin Expedition,1885.0,Polearm,Mahdist insurgent,Strike,Head,Ineffective,Ineffective,Foot,,,,BSF 409,"“The climax of my life came when an Arab, who had broken in the square, singled me out for attack. I wore a sword and revolver, and the former I was brandishing in an amateurish kind of way. The Arab ran at me like a fiend; but I struck at the spear, and the point passed by my head. But the Arab had time to recover himself; and he swung the butt end of the weapon round, striking me full in the face and breaking my nose, as I afterwards found. I stepped back; and the Arab, in following me up—he had flung himself forward with so much force that he couldn’t check himself in time—ran his neck on the point of my sword.” (“Perils of a Non-Combatant,” Star, May 21, 1890.)",Africa
218,95,Suakin Expedition,1885.0,Saber,Thomas Huggett,Thrust,Head,Death,,Foot,Neck thrust,,,BSF 409,"“The climax of my life came when an Arab, who had broken in the square, singled me out for attack. I wore a sword and revolver, and the former I was brandishing in an amateurish kind of way. The Arab ran at me like a fiend; but I struck at the spear, and the point passed by my head. But the Arab had time to recover himself; and he swung the butt end of the weapon round, striking me full in the face and breaking my nose, as I afterwards found. I stepped back; and the Arab, in following me up—he had flung himself forward with so much force that he couldn’t check himself in time—ran his neck on the point of my sword.” (“Perils of a Non-Combatant,” Star, May 21, 1890.)",Africa
219,96,Suakin Expedition,1885.0,Saber,Trooper Hayes,Cut,unspecified,Death,,Foot,,,,BSF 409,"“A trooper of the Hussars, named Hayes, attacked a spearman, who parried his sword thrusts with one of the hippopotamus-hide shields carried by most of the enemy. The trooper tried in vain to cut the man down, but his horse was too restive to render this practicable. Hayes then coolly dismounted, and after parrying a spear thrust, killed his opponent with a sword cut.” (Charles Royle, The Egyptian Campaigns, 1900.)",Africa
220,97,Tofrek,1885.0,Saber,Cpt. Goordit Singh,Cut,Head,Death,,Foot,Weapon break,,,BSF 410,"An Indian hero of the battle of Tofrek in 1885: “Among other deeds of gallantry performed, that of Subadar [Captain] Goordit Singh [of the 15th Loodiana Sikhs] especially deserves mention. At the first alarm, when the pickets and working parties were running in, two or three of the Berkshire men were seen making their way back, hotly pursued by several Arabs. The Berkshire men were likely to have the worst of it, when the Subadar, on whose front the little episode was taking place, rushed forward, and with three passes of his sword delivered in rapid succession, cut down as many Arabs, the weapon unfortunately breaking on the neck bone of the third. The lives of the Berkshire men, at all events, were saved.” (William Galloway, The Battle of Tofrek, 1887.) Goordit Singh was awarded the Order of Merit, the Indian Army equivalent of the Victoria Cross, and a sword of honor.",Africa
221,97,Tofrek,1885.0,Saber,Cpt. Goordit Singh,Cut,unspecified,Death,,Foot,,,,BSF 410,"An Indian hero of the battle of Tofrek in 1885: “Among other deeds of gallantry performed, that of Subadar [Captain] Goordit Singh [of the 15th Loodiana Sikhs] especially deserves mention. At the first alarm, when the pickets and working parties were running in, two or three of the Berkshire men were seen making their way back, hotly pursued by several Arabs. The Berkshire men were likely to have the worst of it, when the Subadar, on whose front the little episode was taking place, rushed forward, and with three passes of his sword delivered in rapid succession, cut down as many Arabs, the weapon unfortunately breaking on the neck bone of the third. The lives of the Berkshire men, at all events, were saved.” (William Galloway, The Battle of Tofrek, 1887.) Goordit Singh was awarded the Order of Merit, the Indian Army equivalent of the Victoria Cross, and a sword of honor.",Africa
222,97,Tofrek,1885.0,Saber,Cpt. Goordit Singh,Cut,unspecified,Death,,Foot,,,,BSF 410,"An Indian hero of the battle of Tofrek in 1885: “Among other deeds of gallantry performed, that of Subadar [Captain] Goordit Singh [of the 15th Loodiana Sikhs] especially deserves mention. At the first alarm, when the pickets and working parties were running in, two or three of the Berkshire men were seen making their way back, hotly pursued by several Arabs. The Berkshire men were likely to have the worst of it, when the Subadar, on whose front the little episode was taking place, rushed forward, and with three passes of his sword delivered in rapid succession, cut down as many Arabs, the weapon unfortunately breaking on the neck bone of the third. The lives of the Berkshire men, at all events, were saved.” (William Galloway, The Battle of Tofrek, 1887.) Goordit Singh was awarded the Order of Merit, the Indian Army equivalent of the Victoria Cross, and a sword of honor.",Africa
223,98,Hasheen,1885.0,Polearm,Mahdist insurgent,Thrust,Leg,Ineffective,Ineffective,Foot vs Horse,Weapon stuck in wound,,,BSF 411,"The sword alone was found to be almost useless against Arabs armed with spear and shield; and one officer, who was wounded, said that when he saw an Arab driving his spear at him, he tried to parry it, but found his sword quite powerless to turn the fierce thrust of the weighted spear, which entered his leg, nearly unhorsing him by catching in the bushes as his charger carried him away.” (Maj. E. A. De Cosson, Days and Nights of Service With Sir Gerald Graham’s Field Force at Suakin, 1886.)",Africa
224,99,Sepoy War,1857.0,Polearm,British Lancer,Thrust,Torso,Ineffective,Ineffective,Foot vs Horse,Weapon stuck in wound,,,BSF 414,"“The lancer had speared the Bundeela through the body, and the mortally wounded man was hanging on with both hands to the staff of the lance. Embarrassed by this, as well as by the thick thorny surrounding bushes and the boulders which strewed the place, the lancer could not get sufficient space to turn his horse and gallop away. Consequently, he was induced to keep tugging away at his lance, in order to free himself from his dying victim. He had, apparently, been engaged for some few minutes in this employment, and had lost his temper at the Bundeela’s tenacity of grip; for he dropped the lance, leaving it suspended to his arm by the sling. Doubling his fist, he leant over the dying man and shook it energetically in his face, with the words, ‘G—d d—n your eyes, if you don’t let that there go, I’ll get off my horse and punch your b—y head!’” (Maj. H. M. Vibart, Military History of the Madras Engineers, 1883.)",Asia
225,100,Suakin,1888.0,Saber,British trooper,Cut,Arm,Ineffective,Ineffective,Foot vs Horse,Dismemberment,,,BSF 415,"One of my comrades cut an Arab swordsman’s right arm off; but, to show the pluck which we had to contend against, the brave fellow caught his sword in his left hand, and rushing forward with a fierce shout of defiance, fought until he was killed.",Africa
226,101,Suakin,1888.0,Saber,British trooper,Cut,Head,Ineffective,Ineffective,Horse,,,,BSF 415,"Our old weapons were heavier, and could deal a far harder blow than the new ones. I cut a man full on the head, but it had no effect on him.",Africa
227,101,Suakin,1888.0,Saber,Mahdist insurgent,Cut,Torso,Death,,Horse,Bisection,,,BSF 415,"Another trooper, whose sabre broke, was cut right down from the shoulder nearly to the waist.",Africa
228,102,Suakin,1888.0,Saber,British trooper,Thrust,Head,Incapacitation,Incapacitation,Horse,,,,BSF 416,"Once we got the first crash, everyone struck out right and left. One man tried to clutch me with his left hand, while he held a dagger in the other; but seeing it in time, I lunged out a point and caught him in the cheek or eye—I cannot tell which. He fell from his horse and was killed by some others of our fellows.",Africa
229,103,Sudan,1888.0,Saber,Mahdist insurgent,Cut,Arm,Ineffective,Ineffective,Foot,,,,BSF 417,"The single combat of a deserter, Trooper Peter Macnamara, when confronted by a Sudanese Mahdist warrior during his escape through the desert: “Macnamara, late of the 7th Hussars, swung his Arab sword as though it were the regulation blade and he in sword practice at Aldershot [a British military training centre], and catching the blade of his desert foe, saved his own neck and gave the chance of a fair hand-to-hand combat. He met the swift strokes of the dervish with a cool certainty. His weariness passed from him; the joy of battle was on him. He was wounded twice— in the shoulder and the head. Now he took the offensive. Once or twice he circled slowly round the dervish, whose eyes blazed, whose mouth was foaming with fury; then he came on him with all the knowledge and the skill he had got in little Indian wars. He came on him; and the dervish fell, his head cut through like a cheese.” (Gilbert Parker, “The Flower of the Flock,” Pall Mall Magazine, 1900.)",Africa
230,103,Sudan,1888.0,Saber,Trooper Peter Macnamara,Cut,Head,Death,,Foot,Bisection,,,BSF 417,"The single combat of a deserter, Trooper Peter Macnamara, when confronted by a Sudanese Mahdist warrior during his escape through the desert: “Macnamara, late of the 7th Hussars, swung his Arab sword as though it were the regulation blade and he in sword practice at Aldershot [a British military training centre], and catching the blade of his desert foe, saved his own neck and gave the chance of a fair hand-to-hand combat. He met the swift strokes of the dervish with a cool certainty. His weariness passed from him; the joy of battle was on him. He was wounded twice— in the shoulder and the head. Now he took the offensive. Once or twice he circled slowly round the dervish, whose eyes blazed, whose mouth was foaming with fury; then he came on him with all the knowledge and the skill he had got in little Indian wars. He came on him; and the dervish fell, his head cut through like a cheese.” (Gilbert Parker, “The Flower of the Flock,” Pall Mall Magazine, 1900.)",Africa
231,103,Sudan,1888.0,Saber,Mahdist insurgent,Cut,Head,Ineffective,Ineffective,Foot,,,,BSF 417,"The single combat of a deserter, Trooper Peter Macnamara, when confronted by a Sudanese Mahdist warrior during his escape through the desert: “Macnamara, late of the 7th Hussars, swung his Arab sword as though it were the regulation blade and he in sword practice at Aldershot [a British military training centre], and catching the blade of his desert foe, saved his own neck and gave the chance of a fair hand-to-hand combat. He met the swift strokes of the dervish with a cool certainty. His weariness passed from him; the joy of battle was on him. He was wounded twice— in the shoulder and the head. Now he took the offensive. Once or twice he circled slowly round the dervish, whose eyes blazed, whose mouth was foaming with fury; then he came on him with all the knowledge and the skill he had got in little Indian wars. He came on him; and the dervish fell, his head cut through like a cheese.” (Gilbert Parker, “The Flower of the Flock,” Pall Mall Magazine, 1900.)",Africa
232,104,Buxar,1764.0,Saber,Mr. Surdle,Cut,Torso,Ineffective,Ineffective,Horse,Armor effectiveness,Weapon break,,BSF 424,"“Mr. Surdle [a dragoon cadet], who was a powerful man and an excellent horseman, performed wonders: after killing three of the enemy with his own hand [during the battle of Buxar in 1764], he was attacked by a Pathan covered with armour. In making a cut at this new antagonist, his sword shivered to pieces upon the coat of mail; the blow was quickly returned; but Mr. Surdle saved himself by his dexterity, throwing himself on one side of his horse; the blow was, however, given with such good will that the pommel of his saddle was cut through. Before his enemy could recover his sword, the gallant young man had resumed his seat, drawn a pistol, and shot him through the head.” (Capt. Arthur Broome, History of the Rise and Progress of the Bengal Army, 1850.)",Asia
233,105,Buxar,1760.0,Saber,Lt. Blair,unspecified,Torso,Ineffective,Ineffective,Horse,Armor effectiveness,,,BSF 425,"“Lieutenant Blair, of the Engineers, gallantly engaged a Pathan of great stature in single combat; but the latter, covered with chain armour under his clothing, was proof against the regulation sword; and in the struggle which ensued, both fell, the Pathan under. Some six of the enemy, coming up at this instant, were preparing to despatch the officer, but were killed in succession by three of the Goorkhas who were just in time to save him.” (“The Umbeyla Campaign,” Calcutta Review, 1864.)",Asia
234,106,El Teb,1884.0,Saber,British sergeant,Cut,Various,Ineffective,Ineffective,Foot vs Horse,,,,BSF 425,"“A troop sergeant major of the 10th Hussars says: ‘On charging the Soudanese at El Teb [in 1884], I first attempted to cut them down with my sword, but found I could do little execution with it; the enemy for the most part eluding my blows, and even when struck, appearing to suffer little from them; I then drew my revolver and soon knocked over three or four.” (Maj. H. E. C. Kitchener, “Revolvers and Their Use,” Journal of the Royal United Service Institution, 1886.)",Africa
235,106,El Teb,1884.0,Saber,British sergeant,Cut,Various,Ineffective,Ineffective,Foot vs Horse,,,,BSF 425,"“A troop sergeant major of the 10th Hussars says: ‘On charging the Soudanese at El Teb [in 1884], I first attempted to cut them down with my sword, but found I could do little execution with it; the enemy for the most part eluding my blows, and even when struck, appearing to suffer little from them; I then drew my revolver and soon knocked over three or four.” (Maj. H. E. C. Kitchener, “Revolvers and Their Use,” Journal of the Royal United Service Institution, 1886.)",Africa
236,106,El Teb,1884.0,Saber,British sergeant,Cut,Various,Ineffective,Ineffective,Foot vs Horse,,,,BSF 425,"“A troop sergeant major of the 10th Hussars says: ‘On charging the Soudanese at El Teb [in 1884], I first attempted to cut them down with my sword, but found I could do little execution with it; the enemy for the most part eluding my blows, and even when struck, appearing to suffer little from them; I then drew my revolver and soon knocked over three or four.” (Maj. H. E. C. Kitchener, “Revolvers and Their Use,” Journal of the Royal United Service Institution, 1886.)",Africa
237,107,Sudan,1889.0,Saber,Major Judge,Thrust,Torso,Incapacitation,Incapacitation,Foot vs Horse,,,,BSF 425,"“Bimbashi [Major] Judge, of the 13th [Sudanese] Battalion, finding that his sword had no effect on the thick, padded coat and turban of the emir [Arab chief], as a last desperate resort, seized the man by the collar, tore him from his horse, and ran his sword through him.” (“The Nile Campaign of 1889,” Blackwood’s Edinburgh Magazine, 1890.)",Africa
238,107,Sudan,1889.0,Saber,Major Judge,Cut,Head,Ineffective,Ineffective,Horse,Armor effectiveness,,,BSF 425,"“Bimbashi [Major] Judge, of the 13th [Sudanese] Battalion, finding that his sword had no effect on the thick, padded coat and turban of the emir [Arab chief], as a last desperate resort, seized the man by the collar, tore him from his horse, and ran his sword through him.” (“The Nile Campaign of 1889,” Blackwood’s Edinburgh Magazine, 1890.)",Africa
239,107,Sudan,1889.0,Saber,Major Judge,Cut,Torso,Ineffective,Ineffective,Horse,Armor effectiveness,,,BSF 425,"“Bimbashi [Major] Judge, of the 13th [Sudanese] Battalion, finding that his sword had no effect on the thick, padded coat and turban of the emir [Arab chief], as a last desperate resort, seized the man by the collar, tore him from his horse, and ran his sword through him.” (“The Nile Campaign of 1889,” Blackwood’s Edinburgh Magazine, 1890.)",Africa
240,108,Sudan,1889.0,Saber,Lt. Wormald,Strike,Head,Incapacitation,Incapacitation,Horse,,,,BSF 425,"“Lieutenant Wormald, of the 7th Hussars, engaged an Emir singlehanded and nearly came to grief. Delivering a terrific blow at the mail-clad warrior, the Lieutenant’s sword, striking against the chain armour, bent double, as though it were lead. But before the Emir could get his own sword home, Wormald hit him across the head with the bent sword and stunned him; and a Lancer, opportunely coming along, finished the chieftain.” (“The Battle of Omdurman,” Taranaki Herald, Oct. 18, 1898.)",Africa
241,108,Sudan,1889.0,Saber,Lt. Wormald,Cut,Torso,Ineffective,Ineffective,Horse,Armor effectiveness,,,BSF 425,"“Lieutenant Wormald, of the 7th Hussars, engaged an Emir singlehanded and nearly came to grief. Delivering a terrific blow at the mail-clad warrior, the Lieutenant’s sword, striking against the chain armour, bent double, as though it were lead. But before the Emir could get his own sword home, Wormald hit him across the head with the bent sword and stunned him; and a Lancer, opportunely coming along, finished the chieftain.” (“The Battle of Omdurman,” Taranaki Herald, Oct. 18, 1898.)",Africa
